"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","3.99",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","SM Frequency","Ghz","2.00",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","54509",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","Memory Throughput","%","2.02",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","DRAM Throughput","%","2.02",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","Duration","us","26.88",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","36.89",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","L2 Cache Throughput","%","1.34",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","SM Active Cycles","cycle","1243.61",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","0.59",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.0 full waves across all SMs. Look at Launch Statistics for more details.","",""
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Compute Workload Analysis","Executed Ipc Active","inst/cycle","1.02",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.02",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Compute Workload Analysis","Issue Slots Busy","%","0.59",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Compute Workload Analysis","Issued Ipc Active","inst/cycle","1.02",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Compute Workload Analysis","SM Busy","%","0.59",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","All compute pipelines are under-utilized. Either this workload is very small or it doesn't issue enough warps per scheduler. Check the Launch Statistics and Scheduler Statistics sections for further details.","local","99.55"
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","no data",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","Memory Throughput","Gbyte/s","154.98",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","Mem Busy","%","1.02",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","Max Bandwidth","%","2.02",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","L1/TEX Hit Rate","%","0.24",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","L2 Persisting Size","Mbyte","24.87",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","L2 Compression Ratio","%","0",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","L2 Compression Input Sectors","sector","1483",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","L2 Hit Rate","%","3.67",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Memory Workload Analysis","Mem Pipes Busy","%","0.40",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Scheduler Statistics","One or More Eligible","%","26.01",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Scheduler Statistics","Issued Warp Per Scheduler","","0.26",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Scheduler Statistics","No Eligible","%","73.99",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Scheduler Statistics","Active Warps Per Scheduler","warp","1",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Scheduler Statistics","Eligible Warps Per Scheduler","warp","0.26",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","SchedulerStats","","","","IssueSlotUtilization","OPT","Every scheduler is capable of issuing one instruction per cycle, but for this workload each scheduler only issues an instruction every 3.8 cycles. This might leave hardware resources underutilized and may lead to less optimal performance. Out of the maximum of 16 warps per scheduler, this workload allocates an average of 1.00 active warps per scheduler, but only an average of 0.26 warps were eligible per cycle. Eligible warps are the subset of active warps that are ready to issue their next instruction. Every cycle with no eligible warp results in no instruction being issued and the issue slot remains unused. To increase the number of eligible warps, avoid possible load imbalances due to highly different execution durations per warp. Reducing stalls indicated on the Warp State Statistics and Source Counters sections can help, too.","local","73.99"
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Max Active Clusters","cluster","0",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Max Cluster Size","block","8",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Overall GPU Occupancy","%","0",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Cluster Occupancy","%","0",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Block Limit Barriers","block","32",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Block Limit SM","block","32",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Block Limit Registers","block","2",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Block Limit Shared Mem","block","1",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Block Limit Warps","block","16",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Theoretical Active Warps per SM","warp","4",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Theoretical Occupancy","%","6.25",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Achieved Occupancy","%","6.17",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","Achieved Active Warps Per SM","warp","3.95",
"0","1813370","python3.12","127.0.0.1","_gqa_sparse_decode_kernel","1","7","(128, 1, 1)","(1, 4, 1)","0","10.3","Occupancy","","","","TheoreticalOccupancy","OPT","The 1.00 theoretical warps per scheduler this kernel can issue according to its occupancy are below the hardware maximum of 16. This kernel's theoretical occupancy (6.2%) is limited by the required amount of shared memory.","global","73.99"
